instance,balance-hard,balance-hard-max,balance-hard-mean,balance-hard-min,balance-hard-std,balance-soft,balance-soft-max,balance-soft-mean,balance-soft-min,balance-soft-std,ncls,nhard_len_stats.ave,nhard_len_stats.max,nhard_len_stats.min,nhard_len_stats.stddev,nhards,nsoft_len_stats.ave,nsoft_len_stats.max,nsoft_len_stats.min,nsoft_len_stats.stddev,nsoft_wts,nsofts,nvars,soft_wt_stats.ave,soft_wt_stats.max,soft_wt_stats.min,soft_wt_stats.stddev
hs-timetabling/GreeceWesternGreeceUniversityInstance4.xml.wcnf.gz,0.777305418,1,0.814352597,0,0.246446602,0.976789168,1,0.996616859,0,0.058066299,557113,2.4,36,1,1.52,553566,1.02,7,1,0.35,1,3547,69783,1,1,1,0
xai-mindset2/ecoli.wcnf.gz,0.332971223,1,0.885491456,0,0.238656852,1,1,1,1,0,317298,5.48,358,1,34.44,310872,1,1,1,0,1,6426,37653,1,1,1,0
xai-mindset2/heart-h.wcnf.gz,0.508062518,1,0.923982275,0,0.199652322,1,1,1,1,0,358943,3.71,331,1,23.1,354983,1,1,1,0,1,3960,26903,1,1,1,0
xai-mindset2/cleveland.wcnf.gz,0.336744236,1,0.881880342,0,0.240225536,1,1,1,1,0,334728,5.4,397,1,35.87,327600,1,1,1,0,1,7128,41362,1,1,1,0
xai-mindset2/liver-disorder.wcnf.gz,0.506967969,1,0.931822057,0,0.191255968,1,1,1,1,0,404657,3.74,329,1,23.3,400721,1,1,1,0,1,3936,27115,1,1,1,0
xai-mindset2/bupa.wcnf.gz,0.506967969,1,0.931822057,0,0.191255968,1,1,1,1,0,404657,3.74,329,1,23.3,400721,1,1,1,0,1,3936,27115,1,1,1,0
xai-mindset2/postoperative-patient-data.wcnf.gz,0.522265328,1,0.764021992,0,0.312725939,1,1,1,1,0,31470,3.09,23,1,4.16,30678,1,1,1,0,1,792,6412,1,1,1,0
xai-mindset2/cleveland-nominal.wcnf.gz,0.387923279,1,0.707698964,0,0.362581257,1,1,1,1,0,64560,3.88,18,1,4.72,62792,1,1,1,0,1,1768,11577,1,1,1,0
xai-mindset2/colic.wcnf.gz,0.514809559,1,0.935400058,0,0.185360269,1,1,1,1,0,642276,3.69,416,1,25.89,636466,1,1,1,0,1,5810,40724,1,1,1,0
xai-mindset2/australian.wcnf.gz,0.503247665,1,0.969249117,0,0.132138537,1,1,1,1,0,1743032,3.88,1164,1,46.34,1733728,1,1,1,0,1,9304,57004,1,1,1,0
xai-mindset2/diabetes.wcnf.gz,0.502927854,1,0.972071288,0,0.126313489,1,1,1,1,0,2075314,3.89,1255,1,48.3,2065282,1,1,1,0,1,10032,61620,1,1,1,0
