instance,optimal
random_graph_1_1000_0.5_100_1.col,0
random_graph_4_1000_0.5_100_1.col,0
random_graph_3_1000_0.7_50_1.col,0
random_graph_4_500_0.5_25_3.col,0
random_graph_1_500_0.9_100_3.col,0
random_graph_3_1000_0.7_0_1.col,0
random_graph_4_500_0.9_0_1.col,0
random_graph_1_250_0.9_25_2.col,1
random_graph_4_1000_0.9_0_3.col,0
random_graph_3_250_0.05_25_3.col,0
random_graph_4_100_0.9_0_1.col,1
random_graph_1_250_0.9_50_1.col,0
random_graph_3_500_0.05_25_1.col,0
random_graph_4_1000_0.5_100_3.col,0
random_graph_1_500_0.5_25_2.col,0
random_graph_1_1000_0.5_50_1.col,0
random_graph_4_1000_0.5_0_1.col,0
random_graph_4_1000_0.5_50_1.col,0
random_graph_1_250_0.1_25_3.col,0
random_graph_4_1000_0.1_100_2.col,0
random_graph_4_250_0.1_25_2.col,0
random_graph_1_250_0.9_0_1.col,0
random_graph_3_250_0.05_0_2.col,0
random_graph_4_250_0.9_25_2.col,1
random_graph_3_1000_0.05_0_2.col,0
random_graph_4_100_0.9_20_2.col,1
random_graph_3_1000_0.7_0_2.col,0
random_graph_3_100_0.7_10_1.col,1
random_graph_3_1000_0.35_100_1.col,0
random_graph_4_1000_0.5_0_3.col,0
random_graph_1_500_0.5_100_2.col,0
random_graph_1_250_0.9_50_3.col,0
random_graph_1_1000_0.1_0_3.col,0
random_graph_3_100_0.05_0_3.col,1
random_graph_4_250_0.1_25_3.col,0
random_graph_1_250_0.9_25_3.col,1
random_graph_1_100_0.1_10_3.col,0
random_graph_1_500_0.5_25_1.col,0
random_graph_4_250_0.1_50_3.col,0
random_graph_4_500_0.9_100_2.col,0
random_graph_4_250_0.1_50_2.col,0
random_graph_1_1000_0.9_0_1.col,0
random_graph_3_1000_0.05_100_3.col,0
random_graph_4_500_0.9_25_3.col,1
random_graph_4_500_0.1_25_3.col,0
random_graph_4_250_0.5_25_1.col,0
random_graph_4_500_0.1_0_3.col,0
random_graph_3_250_0.7_50_3.col,1
random_graph_1_100_0.5_10_2.col,0
random_graph_1_250_0.1_0_2.col,0
random_graph_1_1000_0.5_100_2.col,0
random_graph_3_100_0.05_0_2.col,1
random_graph_1_100_0.9_20_1.col,1
random_graph_4_500_0.1_25_2.col,0
random_graph_4_500_0.1_100_1.col,0
random_graph_3_250_0.05_50_3.col,0
random_graph_4_1000_0.9_100_2.col,0
random_graph_1_1000_0.5_50_3.col,0
random_graph_1_500_0.1_100_2.col,0
random_graph_4_500_0.9_0_3.col,0
random_graph_3_100_0.35_0_3.col,1
random_graph_3_1000_0.7_100_2.col,0
random_graph_1_500_0.9_100_2.col,0
random_graph_4_100_0.5_10_1.col,0
random_graph_3_100_0.35_10_1.col,1
random_graph_3_500_0.7_0_1.col,0
random_graph_1_100_0.9_0_3.col,1
random_graph_4_100_0.5_20_2.col,0
random_graph_4_100_0.9_0_3.col,1
random_graph_4_1000_0.1_100_1.col,0
random_graph_3_1000_0.7_50_3.col,0
random_graph_4_100_0.1_10_3.col,0
random_graph_4_100_0.9_0_2.col,1
random_graph_1_1000_0.1_50_3.col,0
random_graph_3_250_0.05_25_1.col,0
random_graph_1_500_0.9_25_3.col,1
random_graph_3_1000_0.35_50_3.col,0
random_graph_3_1000_0.05_100_1.col,0
random_graph_1_250_0.5_50_1.col,0
random_graph_4_1000_0.9_100_1.col,0
random_graph_3_1000_0.35_0_2.col,0
random_graph_4_250_0.1_0_2.col,0
random_graph_3_500_0.35_0_1.col,0
random_graph_1_100_0.1_10_2.col,0
random_graph_3_100_0.05_0_1.col,1
random_graph_1_250_0.5_0_2.col,0
random_graph_1_100_0.9_0_1.col,1
random_graph_3_500_0.35_25_2.col,0
random_graph_4_500_0.1_100_2.col,0
random_graph_1_500_0.5_25_3.col,0
random_graph_3_100_0.05_20_1.col,1
random_graph_4_100_0.9_10_3.col,1
random_graph_4_500_0.5_0_3.col,0
random_graph_3_1000_0.35_100_3.col,0
random_graph_3_1000_0.05_50_1.col,0
random_graph_1_500_0.5_0_1.col,0
random_graph_3_500_0.7_100_3.col,0
random_graph_4_100_0.5_20_3.col,0
random_graph_4_100_0.1_0_1.col,0
random_graph_3_500_0.35_100_2.col,0
random_graph_1_250_0.9_0_2.col,0
random_graph_3_500_0.35_0_3.col,0
random_graph_1_250_0.1_50_3.col,0
random_graph_1_1000_0.5_0_2.col,0
random_graph_4_100_0.5_10_3.col,0
random_graph_4_500_0.5_25_2.col,0
random_graph_4_500_0.1_25_1.col,0
random_graph_1_500_0.9_25_2.col,1
random_graph_3_500_0.05_100_1.col,0
random_graph_1_1000_0.9_100_2.col,0
random_graph_4_500_0.5_25_1.col,0
random_graph_3_1000_0.35_0_1.col,0
random_graph_1_1000_0.9_0_2.col,0
random_graph_4_500_0.5_100_3.col,0
random_graph_1_250_0.1_25_2.col,0
random_graph_1_100_0.5_20_3.col,0
random_graph_1_500_0.1_25_2.col,0
random_graph_4_1000_0.1_50_3.col,0
random_graph_3_1000_0.05_50_2.col,0
random_graph_4_250_0.9_25_3.col,0
random_graph_4_100_0.1_0_2.col,0
random_graph_3_500_0.7_25_2.col,1
random_graph_4_1000_0.1_50_2.col,0
random_graph_3_500_0.05_0_2.col,0
random_graph_4_1000_0.1_0_2.col,0
random_graph_4_100_0.1_10_1.col,0
random_graph_4_500_0.5_100_1.col,0
random_graph_1_1000_0.9_50_3.col,0
random_graph_3_100_0.7_20_1.col,1
random_graph_3_250_0.35_50_1.col,0
random_graph_3_100_0.05_20_2.col,1
random_graph_1_250_0.5_25_2.col,0
random_graph_4_1000_0.5_0_2.col,0
random_graph_4_100_0.9_10_2.col,1
random_graph_1_1000_0.1_50_1.col,0
random_graph_1_250_0.5_25_3.col,0
random_graph_3_250_0.7_0_2.col,1
random_graph_1_100_0.5_0_3.col,0
random_graph_1_100_0.9_0_2.col,1
random_graph_3_1000_0.7_50_2.col,0
random_graph_1_250_0.5_50_2.col,0
random_graph_4_250_0.5_25_3.col,0
random_graph_1_1000_0.1_0_2.col,0
random_graph_3_100_0.35_20_2.col,1
random_graph_4_250_0.9_0_2.col,0
random_graph_1_250_0.5_0_1.col,0
random_graph_1_500_0.1_0_2.col,0
random_graph_1_1000_0.1_100_1.col,0
random_graph_4_100_0.5_0_1.col,0
random_graph_3_250_0.35_25_1.col,0
random_graph_4_1000_0.5_100_2.col,0
random_graph_4_100_0.1_20_2.col,0
random_graph_3_100_0.35_20_3.col,1
random_graph_1_100_0.1_0_2.col,0
random_graph_1_500_0.5_100_1.col,0
random_graph_3_250_0.7_50_1.col,1
random_graph_3_250_0.35_0_3.col,0
random_graph_3_500_0.05_25_3.col,0
random_graph_1_100_0.9_10_2.col,1
random_graph_1_250_0.1_50_2.col,0
random_graph_1_500_0.1_100_1.col,0
random_graph_4_1000_0.9_0_2.col,0
random_graph_3_100_0.7_10_3.col,1
random_graph_4_500_0.5_0_1.col,0
random_graph_3_100_0.7_0_2.col,1
random_graph_3_500_0.05_100_2.col,0
random_graph_4_100_0.9_10_1.col,1
random_graph_3_250_0.05_25_2.col,0
random_graph_3_100_0.05_10_2.col,1
random_graph_3_100_0.05_10_3.col,1
random_graph_4_250_0.9_50_1.col,1
random_graph_4_250_0.9_25_1.col,1
random_graph_1_1000_0.1_50_2.col,0
random_graph_4_1000_0.9_50_3.col,0
random_graph_3_1000_0.7_0_3.col,0
random_graph_3_500_0.35_25_3.col,0
random_graph_1_500_0.9_0_3.col,0
random_graph_1_1000_0.1_100_2.col,0
random_graph_3_100_0.7_0_1.col,1
random_graph_1_500_0.9_25_1.col,1
random_graph_3_500_0.35_25_1.col,0
random_graph_1_250_0.1_0_1.col,0
random_graph_3_100_0.35_0_2.col,1
random_graph_3_500_0.7_25_1.col,1
random_graph_3_500_0.35_100_1.col,0
random_graph_1_250_0.5_50_3.col,0
random_graph_4_100_0.9_20_1.col,1
random_graph_4_100_0.1_20_1.col,0
random_graph_4_1000_0.1_0_3.col,0
random_graph_1_500_0.9_0_2.col,0
random_graph_1_250_0.9_0_3.col,0
random_graph_1_1000_0.1_100_3.col,0
random_graph_3_100_0.35_0_1.col,1
random_graph_1_1000_0.9_100_3.col,0
random_graph_3_250_0.7_25_3.col,1
random_graph_4_250_0.9_50_3.col,0
random_graph_4_250_0.5_50_2.col,0
random_graph_4_250_0.5_50_3.col,0
random_graph_3_500_0.35_100_3.col,0
random_graph_1_500_0.5_0_3.col,0
random_graph_4_250_0.9_50_2.col,1
random_graph_3_250_0.05_50_2.col,0
random_graph_4_250_0.5_0_3.col,0
random_graph_3_1000_0.35_50_2.col,0
random_graph_1_100_0.5_20_2.col,0
random_graph_4_1000_0.5_50_2.col,0
random_graph_4_250_0.5_25_2.col,0
random_graph_1_500_0.1_25_3.col,0
random_graph_4_1000_0.9_100_3.col,0
random_graph_1_100_0.1_0_1.col,0
random_graph_3_1000_0.05_50_3.col,0
random_graph_4_1000_0.1_50_1.col,0
random_graph_1_100_0.1_20_1.col,0
random_graph_4_250_0.1_50_1.col,0
random_graph_4_500_0.1_0_1.col,0
random_graph_4_250_0.5_0_1.col,0
random_graph_1_1000_0.9_50_1.col,0
random_graph_1_1000_0.9_0_3.col,0
random_graph_3_500_0.7_0_3.col,0
random_graph_3_250_0.05_0_3.col,0
random_graph_4_100_0.1_20_3.col,0
random_graph_3_500_0.05_0_1.col,0
random_graph_1_250_0.9_50_2.col,0
random_graph_1_100_0.9_20_2.col,1
random_graph_3_500_0.7_25_3.col,1
random_graph_4_100_0.5_0_3.col,0
random_graph_4_250_0.5_0_2.col,0
random_graph_3_250_0.35_50_3.col,0
random_graph_3_100_0.35_10_3.col,1
random_graph_4_250_0.1_0_3.col,0
random_graph_3_500_0.35_0_2.col,0
random_graph_1_1000_0.5_0_1.col,0
random_graph_1_1000_0.9_50_2.col,0
random_graph_1_500_0.1_25_1.col,0
random_graph_3_500_0.7_100_1.col,0
random_graph_4_100_0.5_0_2.col,0
random_graph_3_250_0.35_25_2.col,0
random_graph_3_250_0.7_0_1.col,1
random_graph_3_250_0.7_50_2.col,1
random_graph_1_500_0.9_0_1.col,0
random_graph_1_250_0.1_0_3.col,0
random_graph_4_1000_0.9_50_1.col,0
random_graph_1_500_0.1_0_1.col,0
random_graph_1_1000_0.5_0_3.col,0
random_graph_1_1000_0.5_50_2.col,0
random_graph_4_500_0.1_0_2.col,0
random_graph_1_250_0.1_25_1.col,0
random_graph_1_100_0.5_10_3.col,0
random_graph_1_100_0.1_0_3.col,0
random_graph_3_250_0.05_0_1.col,0
random_graph_3_250_0.35_0_2.col,0
random_graph_1_100_0.5_20_1.col,0
random_graph_3_100_0.35_10_2.col,1
random_graph_3_250_0.35_0_1.col,0
random_graph_4_250_0.9_0_3.col,0
random_graph_3_1000_0.7_100_3.col,0
random_graph_3_250_0.7_0_3.col,1
random_graph_3_500_0.7_0_2.col,0
random_graph_3_1000_0.7_100_1.col,0
random_graph_3_250_0.05_50_1.col,0
random_graph_1_100_0.5_0_2.col,0
random_graph_1_250_0.1_50_1.col,0
random_graph_3_100_0.7_10_2.col,1
random_graph_3_1000_0.35_100_2.col,0
random_graph_4_250_0.9_0_1.col,0
random_graph_4_500_0.9_25_2.col,1
random_graph_4_1000_0.1_0_1.col,0
random_graph_3_100_0.05_10_1.col,1
random_graph_3_500_0.05_0_3.col,0
random_graph_1_100_0.9_20_3.col,1
random_graph_3_250_0.35_25_3.col,0
random_graph_1_500_0.5_100_3.col,0
random_graph_3_1000_0.35_50_1.col,0
random_graph_4_500_0.1_100_3.col,0
random_graph_3_1000_0.05_100_2.col,0
random_graph_4_250_0.1_0_1.col,0
random_graph_1_1000_0.1_0_1.col,0
random_graph_1_100_0.9_10_3.col,1
random_graph_3_100_0.7_0_3.col,1
random_graph_3_100_0.35_20_1.col,1
random_graph_4_1000_0.1_100_3.col,0
random_graph_3_100_0.7_20_3.col,1
random_graph_3_250_0.7_25_2.col,1
random_graph_1_100_0.1_20_3.col,0
random_graph_3_250_0.35_50_2.col,0
random_graph_1_100_0.5_10_1.col,0
random_graph_1_250_0.5_25_1.col,0
random_graph_4_500_0.9_100_1.col,0
random_graph_4_100_0.1_0_3.col,0
random_graph_3_1000_0.05_0_3.col,0
random_graph_3_100_0.7_20_2.col,1
random_graph_1_100_0.1_10_1.col,0
random_graph_4_500_0.9_0_2.col,0
random_graph_3_500_0.7_100_2.col,0
random_graph_3_100_0.05_20_3.col,1
random_graph_1_250_0.5_0_3.col,0
random_graph_1_100_0.9_10_1.col,1
random_graph_4_250_0.5_50_1.col,0
random_graph_4_1000_0.9_0_1.col,0
random_graph_1_250_0.9_25_1.col,1
random_graph_3_1000_0.35_0_3.col,0
random_graph_3_500_0.05_100_3.col,0
random_graph_4_100_0.5_20_1.col,0
random_graph_4_100_0.1_10_2.col,0
random_graph_4_1000_0.5_50_3.col,0
random_graph_1_500_0.1_0_3.col,0
random_graph_1_500_0.9_100_1.col,0
random_graph_4_100_0.5_10_2.col,0
random_graph_1_500_0.1_100_3.col,0
random_graph_3_500_0.05_25_2.col,0
random_graph_1_500_0.5_0_2.col,0
random_graph_4_100_0.9_20_3.col,1
random_graph_3_250_0.7_25_1.col,1
random_graph_4_500_0.9_100_3.col,0
random_graph_1_1000_0.9_100_1.col,0
random_graph_1_100_0.1_20_2.col,0
random_graph_4_500_0.5_0_2.col,0
random_graph_4_1000_0.9_50_2.col,0
random_graph_4_250_0.1_25_1.col,0
random_graph_1_1000_0.5_100_3.col,0
random_graph_4_500_0.5_100_2.col,0
random_graph_3_1000_0.05_0_1.col,0
random_graph_1_100_0.5_0_1.col,0
random_graph_4_500_0.9_25_1.col,1
