instance,n,m,ratio_1,ratio_2,density,min_degree,max_degree,avg_degree,med_degree,25Q_degree,75Q_degree,cv_degree,entropy_degree,min_clique,max_clique,med_clique,Q25_clique,Q75_clique,cv_clique,entropy_clique,clique_time,max_card_clique,min_cluster_coeff,max_cluster_coeff,med_cluster_coeff,Q25_cluster_coeff,Q75_cluster_coeff,cv_cluster_coeff,entropy_cluster_coeff,min_cluster_wcoeff,max_cluster_wcoeff,med_cluster_wcoeff,Q25_cluster_wcoeff,Q75_cluster_wcoeff,cv_cluster_wcoeff,entropy_cluster_wcoeff,cluster_coeff_time,DSATUR_n_colors,DSATUR_time,DSATUR_min_size,DSATUR_max_size,DSATUR_mean_size,DSATUR_med_size,DSATUR_Q25_size,DSATUR_Q75_size,DSATUR_vc_size,DSATUR_entropy_size,time
random_graph_1_1000_0.5_100_3.col,1000,244332,0.0,244.33,0.49,409,554,488,491,478,502,0.04,0.91,0.01,0.01,0.01,0.01,0.01,0.0,0.0,1,12,0,0,0.49,0.49,0.49,0.0,0.0,201,272,240.41,233.87,245.59,0.04,0.88,16,122,39,2,4,3,3,3,4,0.2,0.79,58.0
random_graph_3_500_0.7_25_4.col,500,103032,0.0,206.06,0.83,254,494,412,412,371,470,0.15,0.91,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0,25,0,0,0.85,0.82,0.89,0.04,0.0,240,406,359.86,327.42,389.16,0.11,0.92,4,48,6,1,7,3,3,2,4,0.5,0.88,11.0
random_graph_1_250_0.5_25_1.col,250,15051,0.02,60.2,0.48,97,145,120,120,116,125,0.06,0.91,0.02,0.04,0.03,0.03,0.03,0.0,0.0,0,9,0,0,0.48,0.48,0.49,0.01,0.0,46,70,58.21,55.9,60.48,0.06,0.87,0,37,0,3,7,4,4,3,5,0.23,0.79,0.0
random_graph_4_500_0.5_25_1.col,500,59781,0.01,119.56,0.48,208,272,239,239,231,247,0.05,0.92,0.01,0.02,0.02,0.02,0.02,0.0,0.0,0,12,0,0,0.48,0.48,0.48,0.01,0.0,99,130,114.5,110.65,117.83,0.05,0.89,1,65,4,2,4,2,3,2,3,0.27,0.72,6.0
random_graph_1_500_0.9_25_1.col,500,107779,0.0,215.56,0.86,412,457,431,431,426,436,0.02,0.9,0.04,0.05,0.05,0.05,0.05,0.0,0.0,0,25,0,0,0.86,0.86,0.86,0.0,0.0,355,393,371.7,367.27,375.93,0.02,0.9,4,68,6,1,4,2,2,2,3,0.31,0.66,12.0
random_graph_4_250_0.9_25_1.col,250,26927,0.01,107.71,0.87,201,228,215,215,212,219,0.02,0.92,0.08,0.1,0.09,0.08,0.09,0.0,0.0,0,24,0,0,0.86,0.86,0.86,0.0,0.0,174,197,185.74,183.14,189.15,0.02,0.91,0,72,0,2,4,2,2,2,2,0.24,0.54,1.0
random_graph_1_100_0.5_0_3.col,100,2524,0.04,25.24,0.51,40,63,50,51,47,54,0.09,0.92,0.04,0.08,0.07,0.06,0.07,0.0,0.01,0,8,0,0,0.51,0.5,0.52,0.02,0.0,20,32,25.48,24.25,27.34,0.09,0.87,0,21,0,2,5,3,3,3,4,0.24,0.79,0.0
random_graph_3_100_0.7_0_2.col,100,4563,0.02,45.63,0.92,72,99,91,97,83,99,0.1,0.7,0.72,0.76,0.73,0.73,0.73,0.0,0.0,0,76,0,1,0.93,0.92,0.98,0.03,0.37,72,91,90.3,81.77,91.1,0.07,0.71,0,76,0,1,3,1,1,1,2,0.49,0.61,0.0
random_graph_1_1000_0.9_50_4.col,1000,430748,0.0,430.75,0.86,750,918,861,877,853,890,0.05,0.93,0.03,0.04,0.03,0.03,0.04,0.0,0.0,6,38,0,0,0.86,0.86,0.86,0.01,0.0,656,791,755.17,734.75,766.25,0.05,0.93,44,181,60,2,5,2,2,2,2,0.29,0.46,112.0
random_graph_4_500_0.9_0_4.col,500,112275,0.0,224.55,0.9,425,467,449,450,445,453,0.01,0.89,0.07,0.09,0.08,0.08,0.08,0.0,0.0,1,45,0,0,0.9,0.9,0.9,0.0,0.0,382,420,404.72,400.42,407.83,0.01,0.88,4,179,7,1,4,2,2,2,3,0.27,0.54,14.0
