experiment,instance,time,size,lb,ub,optimal
oracle,random_graph_1_1000_0.1_0_4.col,1,1996,5,26,False
oracle,random_graph_1_1000_0.1_0_4.col,2,3051,5,26,False
oracle,random_graph_1_1000_0.1_0_4.col,3,3895,5,26,False
oracle,random_graph_1_1000_0.1_0_4.col,4,4651,5,26,False
oracle,random_graph_1_1000_0.1_0_4.col,5,5250,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,6,5896,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,7,6468,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,8,7019,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,10,7540,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,11,7998,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,12,8468,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,13,8946,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,14,9576,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,15,10028,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,16,10454,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,17,10909,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,19,11404,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,20,11813,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,21,12232,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,22,12618,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,23,13000,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,25,13406,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,26,13775,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,28,14124,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,29,14502,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,31,14885,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,32,15175,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,33,15407,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,34,15639,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,35,15879,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,36,16144,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,37,16369,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,38,16619,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,40,16888,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,41,17163,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,42,17412,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,43,17677,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,45,17932,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,46,18207,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,47,18450,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,49,18715,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,50,18977,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,51,19240,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,53,19519,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,54,19802,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,56,20086,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,57,20341,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,59,20644,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,60,20862,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,62,21117,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,63,21369,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,65,21650,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,67,21918,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,68,22217,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,70,22499,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,72,22783,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,74,23043,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,76,23285,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,77,23556,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,79,23847,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,81,24084,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,82,24237,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,84,24517,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,86,24822,6,26,False
oracle,random_graph_1_1000_0.1_0_4.col,88,25116,6,26,False
