experiment,instance,time,size,lb,ub,optimal
oracle,1-FullIns_3.col,0,233,4,4,True
oracle,1-FullIns_4.col,1,1521,4,5,False
oracle,1-FullIns_4.col,2,2015,4,5,False
oracle,1-FullIns_4.col,3,2488,4,5,False
oracle,1-FullIns_4.col,4,2668,4,5,False
oracle,1-FullIns_4.col,5,2842,4,5,False
oracle,1-FullIns_4.col,6,3001,4,5,False
oracle,1-FullIns_4.col,7,3193,4,5,False
oracle,1-FullIns_4.col,8,3485,4,5,False
oracle,1-FullIns_4.col,10,3665,4,5,False
oracle,1-FullIns_4.col,11,3823,4,5,False
oracle,1-FullIns_4.col,12,4000,4,5,False
oracle,1-FullIns_4.col,13,4114,4,5,False
oracle,1-FullIns_4.col,14,4213,4,5,False
oracle,1-FullIns_4.col,15,4352,4,5,False
oracle,1-FullIns_4.col,16,4458,4,5,False
oracle,1-FullIns_4.col,17,4587,4,5,False
oracle,1-FullIns_4.col,19,4659,4,5,False
oracle,1-FullIns_4.col,20,4772,4,5,False
oracle,1-FullIns_4.col,21,4859,4,5,False
oracle,1-FullIns_4.col,22,4949,4,5,False
oracle,1-FullIns_4.col,23,5001,4,5,False
oracle,1-FullIns_4.col,24,5087,4,5,False
oracle,1-FullIns_4.col,25,5254,4,5,False
oracle,1-FullIns_4.col,26,5419,4,5,False
oracle,1-FullIns_4.col,28,5477,4,5,False
oracle,1-FullIns_4.col,29,5550,4,5,False
oracle,1-FullIns_4.col,30,5586,4,5,False
oracle,1-FullIns_4.col,31,5698,4,5,False
oracle,1-FullIns_4.col,33,5740,4,5,False
oracle,1-FullIns_4.col,34,5830,4,5,False
oracle,1-FullIns_4.col,35,5931,4,5,False
oracle,1-FullIns_4.col,36,5986,4,5,False
oracle,1-FullIns_4.col,37,6024,4,5,False
oracle,1-FullIns_4.col,38,6087,4,5,False
oracle,1-FullIns_4.col,40,6143,4,5,False
oracle,1-FullIns_4.col,41,6197,4,5,False
oracle,1-FullIns_4.col,42,6237,4,5,False
oracle,1-FullIns_4.col,43,6294,4,5,False
oracle,1-FullIns_4.col,44,6387,4,5,False
oracle,1-FullIns_4.col,46,6443,4,5,False
oracle,1-FullIns_4.col,47,6486,4,5,False
oracle,1-FullIns_4.col,48,6557,4,5,False
oracle,1-FullIns_4.col,50,6607,4,5,False
oracle,1-FullIns_4.col,51,6640,4,5,False
oracle,1-FullIns_4.col,52,6739,4,5,False
oracle,1-FullIns_4.col,54,6843,4,5,False
oracle,1-FullIns_4.col,55,6907,4,5,False
oracle,1-FullIns_4.col,56,7004,4,5,False
oracle,1-FullIns_4.col,58,7053,4,5,False
oracle,1-FullIns_4.col,59,7104,4,5,False
oracle,1-FullIns_4.col,60,7190,4,5,False
oracle,1-FullIns_4.col,61,7271,4,5,False
oracle,1-FullIns_4.col,63,7345,4,5,False
oracle,1-FullIns_4.col,64,7401,4,5,False
oracle,1-FullIns_4.col,66,7438,4,5,False
oracle,1-FullIns_4.col,67,7477,4,5,False
oracle,1-FullIns_4.col,68,7516,4,5,False
oracle,1-FullIns_4.col,69,7532,4,5,False
oracle,1-FullIns_4.col,70,7575,4,5,False
oracle,1-FullIns_4.col,71,7641,4,5,False
oracle,1-FullIns_4.col,72,7671,4,5,False
oracle,1-FullIns_4.col,73,7711,4,5,False
oracle,1-FullIns_4.col,75,7776,4,5,False
oracle,1-FullIns_4.col,76,7846,4,5,False
oracle,1-FullIns_4.col,78,7920,4,5,False
oracle,1-FullIns_4.col,79,7963,4,5,False
oracle,1-FullIns_4.col,80,7983,4,5,False
oracle,1-FullIns_4.col,81,8015,4,5,False
oracle,1-FullIns_4.col,83,8046,4,5,False
oracle,1-FullIns_4.col,84,8103,4,5,False
oracle,1-FullIns_4.col,85,8157,4,5,False
oracle,1-FullIns_4.col,86,8192,4,5,False
oracle,1-FullIns_4.col,87,8252,4,5,False
oracle,1-FullIns_4.col,89,8295,4,5,False
oracle,1-FullIns_4.col,90,8328,4,5,False
oracle,1-FullIns_4.col,91,8359,4,5,False
oracle,1-FullIns_4.col,92,8371,4,5,False
oracle,1-FullIns_4.col,93,8412,4,5,False
oracle,1-FullIns_4.col,95,8442,4,5,False
oracle,1-FullIns_4.col,96,8472,4,5,False
oracle,1-FullIns_4.col,97,8497,4,5,False
oracle,1-FullIns_4.col,99,8525,4,5,False
oracle,1-FullIns_4.col,100,8548,4,5,False
oracle,1-FullIns_4.col,101,8584,4,5,False
oracle,1-FullIns_4.col,103,8614,4,5,False
oracle,1-FullIns_4.col,104,8630,4,5,False
oracle,1-FullIns_4.col,105,8704,4,5,False
oracle,1-FullIns_4.col,107,8723,4,5,False
oracle,1-FullIns_4.col,108,8763,4,5,False
oracle,1-FullIns_4.col,110,8794,4,5,False
oracle,1-FullIns_4.col,112,8846,4,5,False
oracle,1-FullIns_4.col,113,8895,4,5,False
oracle,1-FullIns_4.col,115,8927,4,5,False
oracle,1-FullIns_4.col,116,8941,4,5,False
oracle,1-FullIns_4.col,117,8955,4,5,False
oracle,1-FullIns_4.col,119,8978,4,5,False
oracle,1-FullIns_4.col,120,9005,4,5,False
oracle,1-FullIns_4.col,122,9023,4,5,False
oracle,1-FullIns_4.col,123,9060,4,5,False
oracle,1-FullIns_4.col,125,9109,4,5,False
oracle,1-FullIns_4.col,127,9141,4,5,False
oracle,1-FullIns_4.col,128,9171,4,5,False
oracle,1-FullIns_4.col,130,9204,4,5,False
oracle,1-FullIns_4.col,131,9231,4,5,False
oracle,1-FullIns_4.col,132,9269,4,5,False
oracle,1-FullIns_4.col,133,9290,4,5,False
oracle,1-FullIns_4.col,135,9316,4,5,False
oracle,1-FullIns_4.col,136,9336,4,5,False
oracle,1-FullIns_4.col,138,9365,4,5,False
oracle,1-FullIns_4.col,139,9378,4,5,False
oracle,1-FullIns_4.col,140,9405,4,5,False
oracle,1-FullIns_4.col,142,9439,4,5,False
oracle,1-FullIns_4.col,144,9467,4,5,False
oracle,1-FullIns_4.col,146,9485,4,5,False
oracle,1-FullIns_4.col,147,9498,4,5,False
oracle,1-FullIns_4.col,148,9513,4,5,False
oracle,1-FullIns_4.col,150,9540,4,5,False
oracle,1-FullIns_4.col,152,9565,4,5,False
oracle,1-FullIns_4.col,153,9595,4,5,False
oracle,1-FullIns_4.col,155,9613,4,5,False
oracle,1-FullIns_4.col,157,9643,4,5,False
oracle,1-FullIns_4.col,159,9672,4,5,False
oracle,1-FullIns_4.col,161,9704,4,5,False
oracle,1-FullIns_4.col,163,9726,4,5,False
oracle,1-FullIns_4.col,164,9771,4,5,False
oracle,1-FullIns_4.col,166,9800,4,5,False
oracle,1-FullIns_4.col,168,9830,4,5,False
oracle,1-FullIns_4.col,170,9890,4,5,False
oracle,1-FullIns_4.col,171,9920,4,5,False
oracle,1-FullIns_4.col,173,9947,4,5,False
oracle,1-FullIns_4.col,174,9969,4,5,False
oracle,1-FullIns_4.col,175,9981,4,5,False
oracle,1-FullIns_4.col,176,9995,4,5,False
oracle,1-FullIns_4.col,177,10006,4,5,False
oracle,1-FullIns_4.col,179,10023,4,5,False
