instance,predicted_algo,
1-FullIns_3.col,min_width, 
1-FullIns_4.col,dsatur, 
1-FullIns_5.col,dsatur, 
1-Insertions_4.col,max_degree, 
1-Insertions_5.col,max_degree, 
1-Insertions_6.col,max_degree, 
2-FullIns_3.col,dsatur, 
2-FullIns_4.col,dsatur, 
2-FullIns_5.col,dsatur, 
2-Insertions_3.col,min_width, 
2-Insertions_4.col,max_degree, 
2-Insertions_5.col,max_degree, 
3-FullIns_3.col,dsatur, 
3-FullIns_4.col,dsatur, 
3-FullIns_5.col,dsatur, 
3-Insertions_3.col,min_width, 
3-Insertions_4.col,max_degree, 
3-Insertions_5.col,max_degree, 
4-FullIns_3.col,min_width, 
4-FullIns_4.col,min_width, 
4-FullIns_5.col,min_width, 
4-Insertions_3.col,min_width, 
4-Insertions_4.col,max_degree, 
5-FullIns_3.col,min_width, 
5-FullIns_4.col,dsatur, 
C2000.5.col,max_degree, 
C2000.9.col,max_degree, 
C4000.5.col,max_degree, 
DSJC1000.1.col,max_degree, 
DSJC1000.5.col,max_degree, 
DSJC1000.9.col,min_width, 
DSJC125.1.col,dsatur, 
DSJC125.5.col,max_degree, 
DSJC125.9.col,dsatur, 
DSJC250.1.col,dsatur, 
DSJC250.5.col,min_width, 
DSJC250.9.col,dsatur, 
DSJC500.1.col,max_degree, 
DSJC500.5.col,min_width, 
DSJC500.9.col,dsatur, 
DSJR500.1.col,dsatur, 
DSJR500.1c.col,dsatur, 
DSJR500.5.col,min_width, 
abb313GPIA.col,dsatur, 
anna.col,min_width, 
ash331GPIA.col,min_width, 
ash608GPIA.col,dsatur, 
ash958GPIA.col,min_width, 
david.col,min_width, 
flat1000_50_0.col,max_degree, 
flat1000_60_0.col,max_degree, 
flat1000_76_0.col,max_degree, 
flat300_20_0.col,max_degree, 
flat300_26_0.col,max_degree, 
flat300_28_0.col,max_degree, 
fpsol2.i.1.col,min_width, 
fpsol2.i.2.col,min_width, 
fpsol2.i.3.col,min_width, 
games120.col,dsatur, 
homer.col,dsatur, 
huck.col,dsatur, 
inithx.i.1.col,max_clique, 
inithx.i.2.col,min_width, 
inithx.i.3.col,min_width, 
jean.col,min_width, 
latin_square_10.col,max_degree, 
le450_15a.col,dsatur, 
le450_15b.col,dsatur, 
le450_15c.col,dsatur, 
le450_15d.col,min_width, 
le450_25a.col,dsatur, 
le450_25b.col,dsatur, 
le450_25c.col,dsatur, 
le450_25d.col,dsatur, 
le450_5a.col,dsatur, 
le450_5b.col,dsatur, 
le450_5c.col,dsatur, 
le450_5d.col,min_width, 
miles1000.col,min_width, 
miles1500.col,min_width, 
miles250.col,dsatur, 
miles500.col,dsatur, 
miles750.col,dsatur, 
mug100_1.col,min_width, 
mug100_25.col,min_width, 
mug88_1.col,min_width, 
mug88_25.col,min_width, 
mulsol.i.1.col,min_width, 
mulsol.i.2.col,min_width, 
mulsol.i.3.col,min_width, 
mulsol.i.4.col,min_width, 
mulsol.i.5.col,min_width, 
myciel3.col,max_degree, 
myciel4.col,max_degree, 
myciel5.col,max_degree, 
myciel6.col,max_degree, 
myciel7.col,max_degree, 
qg.order100.col,max_degree, 
qg.order30.col,max_degree, 
qg.order40.col,max_degree, 
qg.order60.col,max_degree, 
queen10_10.col,max_degree, 
queen11_11.col,max_degree, 
queen12_12.col,max_degree, 
queen13_13.col,min_width, 
queen14_14.col,min_width, 
queen15_15.col,max_degree, 
queen16_16.col,max_degree, 
queen5_5.col,min_width, 
queen6_6.col,max_degree, 
queen7_7.col,min_width, 
queen8_12.col,min_width, 
queen8_8.col,max_degree, 
queen9_9.col,max_degree, 
r1000.1.col,dsatur, 
r1000.1c.col,dsatur, 
r1000.5.col,min_width, 
r125.1.col,dsatur, 
r125.1c.col,dsatur, 
r125.5.col,dsatur, 
r250.1.col,dsatur, 
r250.1c.col,dsatur, 
r250.5.col,dsatur, 
school1.col,dsatur, 
school1_nsh.col,dsatur, 
wap01a.col,dsatur, 
wap02a.col,dsatur, 
wap03a.col,dsatur, 
wap04a.col,min_width, 
wap05a.col,dsatur, 
wap06a.col,dsatur, 
wap07a.col,dsatur, 
wap08a.col,dsatur, 
will199GPIA.col,dsatur, 
zeroin.i.1.col,min_width, 
zeroin.i.2.col,min_width, 
zeroin.i.3.col,min_width, 
