Gain,Average Gap Covered,
0.915423,0.187601,
0.915423,0.187601,
0.927187,0.361718,
0.92726,0.303415,
0.92726,0.303415,
0.930175,0.406776,
0.930525,0.282232,
0.930525,0.282232,
0.930525,0.282232,
0.930525,0.282232,
0.930555,0.314392,
0.930555,0.314392,
0.93063,0.314392,
0.93216,0.339757,
0.93216,0.339757,
0.93216,0.339757,
0.93216,0.339757,
0.93216,0.339757,
0.932202,0.341081,
0.932202,0.341081,
0.93257,0.365118,
0.932605,0.350139,
0.932605,0.350139,
0.932605,0.350139,
0.933174,0.22687,
0.933174,0.22687,
0.933298,0.226698,
0.933298,0.226698,
0.933298,0.226698,
0.933298,0.226698,
0.933298,0.226698,
0.933298,0.226698,
0.933298,0.226698,
0.933298,0.226698,
0.933298,0.226698,
0.933298,0.226698,
0.936535,0.483279,
0.936535,0.483279,
0.936535,0.483279,
0.936535,0.483279,
0.936535,0.483279,
0.936535,0.483279,
0.936535,0.483279,
0.936535,0.483279,
0.936535,0.483279,
0.936535,0.483279,
0.936535,0.483279,
0.936535,0.483279,
0.936535,0.483279,
0.936535,0.483279,
0.936535,0.483279,
0.936535,0.483279,
0.936535,0.483279,
0.936535,0.483279,
0.936535,0.483279,
0.936636,0.460968,
0.936636,0.460968,
0.936636,0.460968,
0.936636,0.460968,
0.936636,0.460968,
0.936636,0.460968,
0.936655,0.432108,
0.936655,0.432108,
0.936655,0.432108,
0.936655,0.432108,
0.936655,0.432108,
0.936655,0.432108,
0.936655,0.432108,
0.936655,0.432108,
0.936655,0.432108,
0.936655,0.432108,
0.936679,0.424802,
0.936679,0.424802,
0.936679,0.424802,
0.936844,0.373303,
0.936844,0.373303,
0.936844,0.373303,
0.936844,0.373303,
0.936844,0.373303,
0.936844,0.373303,
0.936844,0.373303,
0.937439,0.367826,
0.937439,0.367826,
0.937439,0.367826,
0.937439,0.367826,
0.937439,0.367826,
0.937439,0.367826,
0.93744,0.300324,
0.93744,0.300324,
0.93744,0.300324,
0.93744,0.300324,
0.93744,0.300324,
0.93744,0.300324,
0.93744,0.300324,
0.93744,0.300324,
0.93744,0.300324,
0.93744,0.300324,
0.93744,0.300324,
0.93744,0.300324,
0.93744,0.300324,
0.93744,0.300324,
0.93744,0.300324,
0.93744,0.300324,
0.93744,0.300324,
0.93744,0.300324,
0.93744,0.300324,
0.93744,0.300324,
0.93744,0.300324,
0.93744,0.300324,
0.93744,0.300324,
0.937633,0.304607,
0.937633,0.304607,
0.937633,0.304607,
0.937633,0.304607,
0.937633,0.304607,
0.937633,0.304607,
0.937633,0.304607,
0.937633,0.304607,
0.937633,0.304607,
0.937633,0.304607,
0.937633,0.304607,
0.937633,0.304607,
0.937633,0.304607,
0.937633,0.304607,
0.937633,0.304607,
0.937633,0.304607,
0.937633,0.304607,
0.937633,0.304607,
0.937633,0.304607,
0.937633,0.304607,
0.937633,0.304607,
0.937633,0.304607,
0.937633,0.304607,
0.937633,0.304607,
0.937633,0.304607,
0.937633,0.304607,
0.937633,0.304607,
0.937633,0.304607,
0.937633,0.304607,
0.937633,0.304607,
0.937633,0.304607,
0.937633,0.304607,
0.937633,0.304607,
0.937633,0.304607,
0.937657,0.404813,
0.937657,0.404813,
0.937657,0.404813,
0.937657,0.404813,
0.937657,0.404813,
0.937657,0.404813,
0.937657,0.404813,
0.937657,0.404813,
0.937657,0.404813,
0.937657,0.404813,
0.937657,0.404813,
0.937657,0.404813,
0.937657,0.404813,
0.937657,0.404813,
0.937657,0.404813,
0.937657,0.404813,
0.937657,0.404813,
0.937657,0.404813,
0.937657,0.404813,
0.937657,0.404813,
0.937815,0.391597,
0.937815,0.391597,
