Gain,Average Gap Covered,
0.925518,0.364568,
0.938004,0.36791,
0.940025,0.269986,
0.943173,0.220066,
0.943691,0.230256,
0.945395,0.441518,
0.945411,0.44773,
0.945924,0.328764,
0.947758,0.326582,
0.948591,0.226921,
0.948591,0.226921,
0.948591,0.226921,
0.948591,0.226921,
0.94872,0.284891,
0.94872,0.284891,
0.950269,0.396775,
0.950269,0.396775,
0.950269,0.396775,
0.950269,0.396775,
0.950269,0.396775,
0.95053,0.305827,
0.95053,0.305827,
0.950871,0.328506,
0.950871,0.328506,
0.950879,0.294965,
0.950889,0.286354,
0.950977,0.236002,
0.950977,0.236002,
0.951133,0.25209,
0.951133,0.25209,
0.951208,0.226147,
0.951417,0.206667,
0.951417,0.206667,
0.951417,0.206667,
0.951496,0.218863,
0.951498,0.197846,
0.951883,0.236424,
0.952106,0.238074,
0.952204,0.195567,
0.952204,0.195567,
0.952204,0.195567,
0.952204,0.195567,
0.952206,0.20144,
0.952206,0.20144,
0.952206,0.20144,
0.952206,0.20144,
0.952325,0.278302,
0.952449,0.377662,
0.952449,0.377662,
0.952471,0.366862,
0.952476,0.364485,
0.952542,0.279301,
0.952889,0.26168,
0.952895,0.26168,
