feature,threshold
48,6.1350367796
31,3.0
30,144.0
15,24.33999999999999
13,16.80000000000001
18,4.0
11,0.0
38,1.355261854
48,0.025118013
45,8.57406887000001
37,1.0
38,0.8400710659999999
28,372.0000000000001
4,0.0
12,2.74
1,0.0
38,31.736921161999994
9,1.0
8,1.0
8,1.0
29,735.3677434999997
15,0.9200000000000002
14,1.0
12,3.7060000000000004
4,0.0
38,0.5723145395999998
43,60.855722451999995
1,1.0
8,1.0
0,0.0
43,26.99192466800001
43,19.531893177999994
29,281.40950000000004
39,5.174949390799998
32,291.90398698000007
46,120.0
7,0.9508721802
38,0.7844865906000001
45,3.0709057100000003
44,0.7142857140000001
16,0.0
0,0.508062518
43,74.154389686
34,2.5428442992
0,0.5731824654
40,7063.600000000011
36,2.9000291572000005
41,10.290506387999999
14,1.0
15,1.5
8,1.0
20,0.0
4,0.0
44,0.1250369734
22,930.0000000000002
2,0.9736907656
38,0.9475851207999999
18,1.0
35,3.0
17,1.0
13,7.0
36,5.482755475199999
38,1.469693846
17,1.0
0,0.591096885
15,0.7639999999999999
5,0.0
40,2063.800000000001
16,774959.8000000002
20,0.0
13,4.0
7,1.0
42,4.0
9,0.0
32,50.67789742200002
39,1.4577600473999999
0,0.42348373279999996
3,1.0
14,1.0
13,47.0
42,1.0
47,1.0
40,570.0
38,1.1657919250000002
2,0.36554867
35,47.0
2,0.5088028922000001
4,0.0
1,1.0
41,130.32716966
38,6.9464022615999985
14,1.0
22,4592.199999999999
10,0.0
45,6.918488942000001
35,358.4
42,2.0
46,473.5999999999999
1,1.0
17,1.0
15,11.648000000000117
48,17.489535695999997
42,2.0
38,1.6516798572
37,1.0
13,11.0
16,60054.0
46,33.0
32,42.05477287
19,1.0
5,0.19638117840000002
47,1.0
2,0.5541484298
20,0.0
13,70.0
41,10.57720397
45,15.496587939999998
16,400721.0
22,17864.00000000002
29,7.947355591000001
22,241.0
35,322.80000000000007
11,0.66323951
2,0.0
1,1.0
29,42.04477612
33,2.2914356492000003
6,1.2247739374
12,2.44
35,4.0
46,19.200000000000017
19,1.0
19,1.0
31,3.0
46,779.0
29,107.3211854
8,1.0
11,0.0
0,0.8605786667999992
37,1.0
41,197.9398124800001
4,0.0
39,1.620628811
22,5672.000000000001
3,1.0
6,1.056103663
3,1.0
42,3.0
45,5.1674559204
22,39900.0
5,0.2138500202
40,280.00000000000006
27,188290.0
33,2.963365692
37,1.0
43,20.708068176
39,0.7650847643999998
1,0.9508721802
42,1.0
35,201.0
16,992903.9999999998
36,2.271881674
16,115176.0
32,7.8807224914
12,3.25
45,5.359102244
14,0.0
9,0.0
4,0.022727273
18,1.0
37,1.0
6,0.0
14,0.0
3,1.0
12,2.494
42,2.0
2,0.544029791
35,4.0
2,0.674349125
27,1157052.7999999998
