feature,threshold
27,0.004999999888241291
9,219.0
14,0.054999999701976776
26,0.6200000047683716
26,0.6200000047683716
10,10.5
3,217.5800018310547
15,0.08500000089406967
26,0.8849999904632568
15,0.044999999925494194
9,100.0
24,0.8849999904632568
11,0.024999999441206455
14,0.07499999925494194
10,49.5
9,219.0
4,0.824999988079071
11,0.0400000000372529
1,27783.5
26,0.7749999761581421
45,0.2900000065565109
3,217.5800018310547
26,0.7649999856948853
1,7355.5
31,19.164999961853027
26,0.7250000238418579
42,2.5
24,0.7450000047683716
6,998.5
27,0.10500000044703484
46,0.824999988079071
46,0.824999988079071
0,750.0
37,94.0
9,100.0
32,426.13499450683594
14,0.08500000089406967
29,186.0
15,0.0400000000372529
40,7.5
0,750.0
35,0.9350000023841858
42,2.5
34,0.06000000052154064
4,0.8650000095367432
25,0.7899999916553497
11,0.024999999441206455
21,7.5
26,0.7649999856948853
10,131.5
8,8.5
9,430.0
20,1.5
9,219.0
0,750.0
14,0.07499999925494194
14,0.054999999701976776
27,0.10500000044703484
26,0.7250000238418579
35,0.925000011920929
31,285.20499420166016
25,0.42499999701976776
45,0.4150000065565109
37,94.0
46,0.824999988079071
1,26903.0
25,0.5149999856948853
4,0.824999988079071
4,0.8849999904632568
11,0.024999999441206455
44,4.5
40,7.5
25,0.8849999904632568
7,112.5
32,17.4399995803833
9,219.0
46,0.9900000095367432
46,0.9750000238418579
11,0.024999999441206455
15,0.044999999925494194
46,0.824999988079071
26,0.6200000047683716
10,49.5
28,0.054999999701976776
39,1.5
26,0.7749999761581421
29,186.0
42,2.5
32,68.25
16,0.054999999701976776
15,0.08500000089406967
42,2.5
14,0.08500000089406967
1,27783.5
4,0.8849999904632568
34,0.0400000000372529
33,515.4599914550781
17,0.07500000111758709
0,750.0
11,0.0400000000372529
27,0.019999999552965164
