Loandra,SATLike,LinSBPS2018,sls-mcs,sls-mcs-lsu,Open-WBO-g,Open-WBO-ms
0.8125,0.8966,0.9286,0.3714,0.3514,1,0.7429
0.9333,0.9032,0.9032,0.3889,0.3889,1,0.9655
0.7308,0.7037,0.7037,0.2923,0.2923,1,0.8261
0.9556,1,1,0.5,0.4886,0.5059,0.9773
0.8537,0.8974,0.8974,0.4545,0.4605,0.7955,1
0.6771,1,0.3333,1,0.9701,0.1505,0.121
0.6224,0.9683,0.3742,1,1,0.1338,0.1043
0.8261,0.9194,0.5135,1,1,0.1966,0.1913
1,0.9556,0.5119,1,1,0.2172,0.2622
0.8361,1,1,0,0,1,0.9623
1,0.8226,0.8226,0,0,0.8361,0.8361
0.6508,0.5,1,0,0,0.313,0.4881
1,0.6774,1,0,0,0.6774,0.7241
0.8095,0.8947,1,0.1868,0.1868,0.8095,0.8095
0,0,0,0,0,0,0
0.619,0.6842,1,0,0,0.3171,0.5652
0.8361,1,1,1,0.8644,0.9623,1
0.8361,0.8361,0.8361,0.8361,0.8361,1,1
0.775,1,1,0.4921,0.4921,0.8378,0.9394
1,0.9286,0.9286,0.4194,0.3333,0.619,0.6842
1,1,1,0.4359,0.4146,0.8095,0.9444
0.6078,0.62,1,0,0,0.3827,0.3827
1,1,1,0.2364,0.2364,0.65,1
1,0.9608,0.98,0.9608,0.9608,0.5833,0.2188
1,1,1,1,1,1,1
0.9831,1,0.9667,1,1,0.9508,0.9508
1,0.981,1,0.9904,0.9904,0.9717,0.981
1,1,1,0.9949,1,0.8124,0.8989
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.92,0.9388,0.9583,0.9787,1,0.6389,0.6667
1,1,1,0.3596,0.3596,1,1
1,1,1,0.3596,0.3596,1,1
1,1,1,0.5545,0.5545,1,0.8478
1,1,1,1,1,1,0.1883
1,1,1,1,1,1,1
1,1,0.0074,1,1,1,0.0058
1,1,1,1,1,0.6963,0.1264
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,0.0615,0.0615,1,1,0.0615,0.0941
1,1,1,1,1,1,0.3472
1,1,1,1,1,1,1
1,0.6685,1,0.9444,0.9444,0.4034,0.4118
1,1,1,1,1,1,0.9512
1,1,1,1,1,1,1
1,1,1,1,1,1,0.0442
1,0,1,0,0,0.8824,0.8333
1,0,1,0,0,0.8095,0.7727
1,0,0.9,0,0,0.9,0.75
1,0,1,0,0,0.9,0.75
1,0,1,0,0,0.95,0.8636
0.8696,0,1,0,0,0.8,0.7143
1,0,1,0,0,0.9524,0.8696
1,0,1,0,0,0.8333,0.8333
1,0,0.84,0,0,0.8077,0.7778
1,0,1,0,0,0.9545,0.9545
1,0,0.9545,0,0,0.84,0.7778
1,0,0.84,0,0,0.84,0.8077
0.7273,1,1,1,0.8889,0.8,0.7273
1,1,1,1,1,0.7143,1
0.75,1,0.8182,1,0.9,1,1
0.5625,1,1,1,1,0.6,0.5
0.5652,1,0.619,1,0.9286,0.8125,0.4483
0.8571,1,0.6667,1,1,0.48,0.5217
0.8333,1,1,1,0.7143,0.5882,0.5
0.6667,1,0.5556,0.9091,0.8333,0.5882,0.3846
0.9,1,0.8182,1,0.9,0.75,0.5294
0.625,1,0.8333,1,1,0.6667,0.5556
0.5294,1,0.75,1,0.9,0.6923,0.75
1,1,0.4667,1,0.875,0.7778,0.3684
0.6923,0.9,1,0.8182,0.8182,0.4737,0.5
0.75,1,1,1,1,0.5,0.36
0.9,1,1,1,1,0.9,0.9
1,1,1,0.7322,0.7273,0.9908,0.9391
1,1,1,0.7961,0.7961,1,0.8286
1,1,1,0.5273,0.5273,0.9712,0.9926
1,0.9944,1,0.7052,0.7052,0.9944,0.8469
1,0.9902,0.9902,0.7276,0.7276,0.976,0.976
0.8957,0.913,0.913,0.7683,0.7683,0.8791,1
0.9655,0.9655,0.9655,0.7424,0.7424,0.9655,1
0.9953,0.9953,0.9953,0.7617,0.7617,0.9906,1
0.4474,1,0.4595,0,0,0.3778,0.2656
0.7333,1,0.8462,0.9167,0.9167,0.7857,0.7857
0.7778,1,0.7778,1,1,0.7368,0.8235
1,0.75,1,0.8571,0.8571,1,0.8571
1,1,1,1,0.8571,1,1
1,1,0.8333,1,1,0.8333,1
0.7143,1,0.7143,1,1,0.7143,0.8333
0.8571,1,0.75,1,0.4615,0.6,0.75
1,1,0.875,0.875,0.875,0.875,0.7
1,0.9118,0.9394,0,0,0.7209,0.4769
1,0.9697,0.9697,0,0,0.8205,0
0.8667,1,0.8125,1,1,0.7647,1
0.8889,0.8889,0.8889,0.8889,0.8889,0.8,1
1,1,1,0.5625,0.5625,0.75,0.6429
0.9,1,0.6923,0.8182,0.8182,0.6923,0.6
1,0.7143,0.4545,0.3571,0.3226,0.4762,0.5
0.875,1,0.875,1,1,0.875,1
1,1,0.875,1,1,0.875,1
0.6786,0.95,1,0.2135,0.1508,0.1863,0.047
